LINE,X,Y,FID,Z,BALT,LASER,ALTRADAR,DTM,MAGSP,DIURNAL,MAGLD,IGRF,MAG,CPPL,CXSP,CPSP,CPI400_CAL,CPQ400_CAL,CPI1800_CAL,CPQ1800_CAL,CXI3300_CAL,CXQ3300_CAL,CPI8200_CAL,CPQ8200_CAL,CPI40K_CAL,CPQ40K_CAL,CPI140K_CAL,CPQ140K_CAL,CPI400_R,CPQ400_R,CPI1800_R,CPQ1800_R,CXI3300_R,CXQ3300_R,CPI8200_R,CPQ8200_R,CPI40K_R,CPQ40K_R,CPI140K_R,CPQ140K_R,CPI400,CPQ400,CPI1800,CPQ1800,CXI3300,CXQ3300,CPI8200,CPQ8200,CPI40K,CPQ40K,CPI140K,CPQ140K,RES400,RES1800,RES3300,RES8200,RES40K,RES140K,DEP400,DEP1800,DEP3300,DEP8200,DEP40k,DEP140k,DRES400,DRES1800,DRES8200,DRES40K,DRES140K,DDEP400,DDEP1800,DDEP8200,DDEP40K,DDEP140K,CEN400,CEN1800,CEN8200,CEN40K,CEN140K,UTC,FLIGHT,DATE,LATWGS84,LONWGS84,ALTL_LP,ALTR,KPA,Z_BIRD,X_HELI,Y_HELI,Z_HELI,PITCH,ROLL,YAW,DRES_100_by5m[0],DRES_100_by5m[1],DRES_100_by5m[2],DRES_100_by5m[3],DRES_100_by5m[4],DRES_100_by5m[5],DRES_100_by5m[6],DRES_100_by5m[7],DRES_100_by5m[8],DRES_100_by5m[9],DRES_100_by5m[10],DRES_100_by5m[11],DRES_100_by5m[12],DRES_100_by5m[13],DRES_100_by5m[14],DRES_100_by5m[15],DRES_100_by5m[16],DRES_100_by5m[17],DRES_100_by5m[18],DRES_100_by5m[19],DRES_100_by5m[20]
10010,601794.793,4657870.781,3884.0,284.306,254.132,60.668,87.365,224.562,53712.532,-5.757,53718.265,53954.504,-227.147,0.0009922,5.51e-05,0.0003115,22.869,28.572,58.797,73.473,46.275,33.788,127.727,101.898,339.099,160.333,457.228,122.813,23.179,30.565,63.918,77.853,35.718,34.546,125.723,111.455,359.301,171.325,481.13,129.171,23.13,31.025,63.935,77.849,35.718,34.647,150.227,133.6,359.172,171.252,480.954,128.823,20.61,44.53,45.6,76.34,73.24,68.17,23.49,4.09,4.66,-1.5,-4.07,-3.04,9.76,27.12,79.04,80.03,68.17,85.18,55.83,31.04,15.03,5.69,58.37,39.36,23.86,10.66,5.69,56716.0,55002,20170405,42.06630843,-91.7695875,60.61,285.492,98.368,284.306,601798.888,4657861.091,315.935,10.787,-0.426,0.436,68.17,68.17,73.41,79.99,79.72,79.41,79.1,66.62,53.69,43.27,34.87,28.1,23.45,19.7,16.55,13.91,11.69,9.82,-99999.0,-99999.0,-99999.0
10010,601794.569,4657871.495,3884.1,284.184,253.541,60.52,87.266,224.58,53712.472,-5.757,53718.301,53954.51,-227.117,0.0009,3.54e-05,0.0002224,23.055,28.916,59.308,73.821,44.74,33.426,129.829,102.262,342.092,161.298,458.348,123.794,23.534,30.62,64.237,78.247,34.245,34.246,126.098,112.525,361.283,172.463,482.138,130.326,23.486,31.08,64.254,78.243,34.245,34.347,150.677,134.884,361.154,172.389,481.962,129.979,20.08,44.38,49.14,76.92,73.11,68.98,24.04,4.12,4.43,-1.63,-4.05,-2.99,9.24,26.72,80.27,78.58,68.98,84.49,55.85,31.11,15.05,5.72,57.62,39.29,23.96,10.65,5.72,56716.1,55002,20170405,42.06631489,-91.76959009,60.52,286.865,98.375,284.184,601798.621,4657861.664,315.792,10.733,-0.47,-0.118,68.98,68.98,73.23,78.53,79.1,79.62,80.15,67.53,54.07,43.29,34.66,27.75,22.91,19.03,15.81,13.14,10.91,9.24,-99999.0,-99999.0,-99999.0
10010,601794.345,4657872.209,3884.2,284.062,251.766,60.379,87.163,224.605,53712.44,-5.756,53718.332,53954.516,-227.091,0.0011834,3.2e-05,0.000185,22.965,29.439,59.786,74.22,43.184,33.587,130.579,102.614,344.634,162.391,459.379,124.684,23.999,30.698,64.62,78.625,33.017,33.887,126.658,113.266,363.111,173.675,483.012,131.775,23.95,31.158,64.637,78.621,33.018,33.988,151.349,135.772,362.982,173.602,482.836,131.427,19.43,44.15,52.18,76.93,73.12,70.13,24.69,4.19,4.34,-1.63,-4.03,-2.94,8.62,26.43,80.28,77.01,70.13,83.6,55.76,31.12,15.09,5.77,56.68,39.19,23.96,10.65,5.77,56716.2,55002,20170405,42.06632134,-91.76959267,60.39,290.985,98.395,284.062,601798.354,4657862.237,315.649,10.744,-0.543,-0.666,70.13,70.13,73.17,76.94,78.0,79.01,80.05,67.38,53.78,42.93,34.26,27.35,22.28,18.22,14.9,12.18,9.96,-99999.0,-99999.0,-99999.0,-99999.0
10010,601794.12,4657872.922,3884.3,283.941,251.175,60.251,87.061,224.634,53712.44,-5.756,53718.352,53954.522,-227.078,0.0009939,3.92e-05,0.0001681,22.832,30.081,60.357,74.848,42.285,33.959,130.154,102.946,346.305,163.718,462.162,125.924,24.498,30.815,65.104,78.984,32.009,33.523,127.312,113.741,364.718,174.886,483.889,133.371,24.45,31.275,65.121,78.981,32.009,33.625,152.134,136.343,364.588,174.812,483.713,133.023,18.78,43.77,54.77,76.56,73.24,71.43,25.3,4.31,4.34,-1.55,-4.0,-2.9,8.05,26.1,79.46,75.54,71.43,82.66,55.57,31.07,15.15,5.82,55.73,39.02,23.9,10.66,5.82,56716.3,55002,20170405,42.0663278,-91.76959526,60.22,287.781,98.402,283.941,601798.087,4657862.811,315.506,10.825,-0.644,-1.206,71.43,71.43,73.24,75.47,76.71,77.94,79.19,66.47,52.96,42.19,33.61,26.78,21.53,17.33,13.95,11.23,9.03,-99999.0,-99999.0,-99999.0,-99999.0
10010,601793.896,4657873.636,3884.4,283.819,251.175,60.14,86.961,224.666,53712.456,-5.755,53718.355,53954.528,-227.08,0.0010847,9.7e-06,0.00011,22.802,30.508,61.151,75.626,42.048,34.389,128.862,103.432,347.761,165.331,467.369,127.227,24.946,30.988,65.684,79.326,31.083,33.207,127.997,114.039,366.036,175.988,484.957,134.92,24.897,31.448,65.701,79.322,31.084,33.308,152.956,136.7,365.907,175.915,484.781,134.572,18.28,43.27,57.36,75.97,73.41,72.62,25.71,4.48,4.32,-1.42,-3.95,-2.86,7.66,25.69,78.19,74.41,72.62,81.83,55.3,31.0,15.2,5.87,54.98,38.8,23.81,10.67,5.87,56716.4,55002,20170405,42.06633425,-91.76959785,60.1,284.958,98.402,283.819,601797.82,4657863.384,315.362,10.98,-0.772,-1.739,72.62,72.62,73.41,74.37,75.54,76.73,77.94,65.11,51.78,41.18,32.75,26.05,20.74,16.51,13.14,10.46,8.33,-99999.0,-99999.0,-99999.0,-99999.0
10010,601793.672,4657874.349,3884.5,283.698,250.583,60.05,86.869,224.697,53712.448,-5.755,53718.351,53954.533,-227.091,0.0013126,1.71e-05,0.0001224,22.843,30.488,62.104,76.288,41.892,34.902,127.066,104.422,350.001,167.039,473.472,127.943,25.27,31.221,66.33,79.648,30.087,32.971,128.695,114.218,367.049,176.906,486.431,136.245,25.222,31.681,66.347,79.644,30.087,33.072,153.794,136.916,366.92,176.833,486.255,135.898,18.0,42.68,60.63,75.27,73.6,73.41,25.83,4.68,4.13,-1.25,-3.89,-2.82,7.53,25.23,76.69,73.83,73.41,81.25,54.98,30.92,15.24,5.9,54.56,38.53,23.7,10.68,5.9,56716.5,55002,20170405,42.06634071,-91.76960044,59.94,283.432,98.409,283.698,601797.553,4657863.958,315.219,11.211,-0.925,-2.266,73.41,73.41,73.6,73.82,74.69,75.6,76.52,63.51,50.41,40.01,31.75,25.2,20.02,15.91,12.64,10.04,7.98,-99999.0,-99999.0,-99999.0,-99999.0
10010,601793.447,4657875.063,3884.6,283.576,250.583,59.981,86.785,224.724,53712.42,-5.754,53718.342,53954.539,-227.106,0.0014725,1.13e-05,5.56e-05,22.86,30.266,62.978,76.707,41.234,35.424,125.339,106.177,352.993,168.496,477.988,127.895,25.436,31.497,66.992,79.94,28.953,32.819,129.462,114.266,367.816,177.625,488.391,137.259,25.388,31.957,67.009,79.936,28.954,32.92,154.715,136.973,367.687,177.552,488.215,136.911,17.97,42.07,65.0,74.36,73.76,73.7,25.67,4.89,3.68,-1.04,-3.81,-2.77,7.65,24.81,74.87,73.83,73.7,80.97,54.61,30.8,15.26,5.91,54.5,38.25,23.55,10.69,5.91,56716.6,55002,20170405,42.06634716,-91.76960302,59.87,282.593,98.409,283.576,601797.286,4657864.531,315.076,11.515,-1.103,-2.786,73.7,73.7,73.75,73.83,74.14,74.48,74.81,61.62,48.87,38.75,30.73,24.39,19.51,15.61,12.48,9.99,7.99,-99999.0,-99999.0,-99999.0,-99999.0
10010,601793.223,4657875.777,3884.7,283.454,250.879,59.935,86.709,224.744,53712.388,-5.753,53718.325,53954.545,-227.129,0.0011185,2.46e-05,0.0002411,22.807,30.279,63.564,77.012,39.723,35.743,124.229,108.521,355.712,169.546,479.883,127.513,25.459,31.783,67.613,80.186,27.741,32.728,130.425,114.101,368.436,178.196,490.703,137.963,25.411,32.243,67.63,80.182,27.741,32.829,155.87,136.775,368.307,178.122,490.527,137.616,18.13,41.49,70.37,73.02,73.87,73.52,25.3,5.1,3.03,-0.77,-3.72,-2.72,7.97,24.58,72.32,74.31,73.52,80.96,54.21,30.63,15.27,5.9,54.75,37.99,23.34,10.7,5.9,56716.7,55002,20170405,42.06635362,-91.76960561,59.8,282.364,98.405,283.454,601797.019,4657865.104,314.933,11.892,-1.305,-3.301,73.52,73.52,73.87,74.29,73.69,73.04,72.4,59.2,47.09,37.46,29.8,23.77,19.26,15.6,12.64,10.24,8.29,-99999.0,-99999.0,-99999.0,-99999.0
10010,601792.999,4657876.49,3884.8,283.333,251.766,59.909,86.643,224.757,53712.388,-5.753,53718.301,53954.551,-227.16,0.0012012,3.86e-05,0.000241,22.723,30.558,63.833,77.376,37.44,35.698,123.889,110.834,357.539,170.315,480.243,127.366,25.383,32.042,68.142,80.369,26.585,32.672,131.662,113.631,368.992,178.691,493.064,138.41,25.335,32.502,68.159,80.365,26.585,32.773,157.354,136.211,368.863,178.617,492.888,138.062,18.41,40.99,76.16,71.11,73.97,73.07,24.85,5.31,2.3,-0.4,-3.63,-2.67,8.39,24.65,68.81,75.09,73.07,81.12,53.75,30.36,15.25,5.89,55.17,37.76,23.03,10.71,5.89,56716.8,55002,20170405,42.06636007,-91.7696082,59.83,283.279,98.395,283.333,601796.752,4657865.678,314.79,12.335,-1.53,-3.811,73.07,73.07,73.95,75.04,73.06,70.98,68.95,56.14,45.07,36.19,29.06,23.47,19.27,15.82,12.99,10.67,8.76,-99999.0,-99999.0,-99999.0,-99999.0
10010,601792.774,4657877.204,3884.9,283.211,252.949,59.901,86.586,224.763,53712.416,-5.752,53718.26,53954.557,-227.208,0.0015511,6.29e-05,9.67e-05,22.731,30.738,63.917,77.837,35.062,35.272,124.201,112.466,359.041,171.019,480.745,127.904,25.258,32.247,68.549,80.482,25.609,32.642,133.102,112.836,369.512,179.15,495.144,138.664,25.209,32.708,68.566,80.478,25.609,32.743,159.083,135.258,369.383,179.077,494.968,138.316,18.72,40.59,81.61,68.71,74.05,72.53,24.44,5.51,1.59,0.06,-3.55,-2.6,8.82,25.05,64.54,75.97,72.53,81.35,53.25,30.03,15.24,5.87,55.63,37.58,22.64,10.72,5.87,56716.9,55002,20170405,42.06636653,-91.76961078,59.74,282.059,98.382,283.211,601796.485,4657866.251,314.647,12.837,-1.777,-4.317,72.53,72.53,74.03,75.88,72.09,68.22,64.56,52.7,42.99,35.06,28.6,23.48,19.5,16.19,13.45,11.17,9.27,-99999.0,-99999.0,-99999.0,-99999.0
