Line,TIME,X_UTM11N,Y_UTM11N,DEM,ALT,NUMDATA,SEGMENT,DATA_dBdt0,DATA_dBdt1,DATA_dBdt2,DATA_dBdt3,DATA_dBdt4,DATA_dBdt5,DATA_dBdt6,DATA_dBdt7,DATA_dBdt8,DATA_dBdt9,DATA_dBdt10,DATA_dBdt11,DATA_dBdt12,DATA_dBdt13,DATA_dBdt14,DATA_dBdt15,DATA_dBdt16,DATA_dBdt17,DATA_dBdt18,DATA_dBdt19,DATA_dBdt20,DATA_dBdt21,DATA_dBdt22,DATA_dBdt23,DATA_dBdt24,DATA_dBdt25,DATA_dBdt26,DATA_dBdt27,DATA_dBdt28,DATA_dBdt29,DATA_dBdt30,DATA_dBdt31,DATA_dBdt32,DATA_dBdt33,DATA_dBdt34,DATA_dBdt35,DATA_dBdt36,DATA_dBdt37,DATA_dBdt38,DATA_dBdt39,DATA_dBdt40,DATA_dBdt41,DATA_dBdt42,DATA_dBdt43,DATASTD_dBdt0,DATASTD_dBdt1,DATASTD_dBdt2,DATASTD_dBdt3,DATASTD_dBdt4,DATASTD_dBdt5,DATASTD_dBdt6,DATASTD_dBdt7,DATASTD_dBdt8,DATASTD_dBdt9,DATASTD_dBdt10,DATASTD_dBdt11,DATASTD_dBdt12,DATASTD_dBdt13,DATASTD_dBdt14,DATASTD_dBdt15,DATASTD_dBdt16,DATASTD_dBdt17,DATASTD_dBdt18,DATASTD_dBdt19,DATASTD_dBdt20,DATASTD_dBdt21,DATASTD_dBdt22,DATASTD_dBdt23,DATASTD_dBdt24,DATASTD_dBdt25,DATASTD_dBdt26,DATASTD_dBdt27,DATASTD_dBdt28,DATASTD_dBdt29,DATASTD_dBdt30,DATASTD_dBdt31,DATASTD_dBdt32,DATASTD_dBdt33,DATASTD_dBdt34,DATASTD_dBdt35,DATASTD_dBdt36,DATASTD_dBdt37,DATASTD_dBdt38,DATASTD_dBdt39,DATASTD_dBdt40,DATASTD_dBdt41,DATASTD_dBdt42,DATASTD_dBdt43
300101,42651.69654,243030.2,3942526.0,185.6,35.5,11,1,2.02e-09,1.32e-09,8.32e-10,5.24e-10,3.36e-10,2.09e-10,1.3e-10,7.9e-11,4.64e-11,2.86e-11,1.55e-11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.032,0.0321,0.032,0.0347,0.0307,0.0309,0.0307,0.0307,0.0569,0.0677,0.0626,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
300101,42651.69656,243066.5,3942498.6,185.5,35.45,13,1,1.96e-09,1.29e-09,8.14e-10,5.16e-10,3.33e-10,2.07e-10,1.3e-10,7.92e-11,4.69e-11,2.9e-11,1.59e-11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,9.94e-12,-10000.0,-10000.0,-10000.0,5.85e-12,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0407,0.037,0.0357,0.0347,0.0314,0.0309,0.0303,0.0304,0.0445,0.0514,0.0521,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0347,-10000.0,-10000.0,-10000.0,0.116,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
300101,42651.69656,243066.5,3942498.6,185.5,35.45,27,2,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.22e-10,1.08e-10,9.36e-11,7.96e-11,6.63e-11,5.44e-11,-10000.0,4.37e-11,3.47e-11,2.69e-11,-10000.0,2.05e-11,1.55e-11,-10000.0,1.15e-11,8.45e-12,-10000.0,6.15e-12,4.42e-12,-10000.0,3.12e-12,-10000.0,2.17e-12,1.47e-12,9.74e-13,6.35e-13,3.94e-13,2.44e-13,1.5e-13,9e-14,5.35e-14,3.14e-14,2.05e-14,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.03,0.03,0.03,0.0301,0.0303,0.0305,-10000.0,0.0309,0.0313,0.0316,-10000.0,0.0323,0.0323,-10000.0,0.0325,0.0326,-10000.0,0.0322,0.0319,-10000.0,0.0318,-10000.0,0.0319,0.0314,0.0306,0.0307,0.0324,0.0321,0.0339,0.0519,0.0792,0.0629,0.0908
300101,42651.69657,243102.7,3942472.0,185.3,35.8,13,1,1.86e-09,1.24e-09,7.89e-10,5.02e-10,3.24e-10,2.05e-10,1.29e-10,8.01e-11,4.76e-11,2.86e-11,1.7e-11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,9.97e-12,-10000.0,-10000.0,-10000.0,5.67e-12,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0434,0.0383,0.0338,0.0312,0.0336,0.0301,0.0301,0.0302,0.0363,0.0634,0.0323,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0338,-10000.0,-10000.0,-10000.0,0.0817,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
300101,42651.69657,243102.7,3942472.0,185.3,35.8,27,2,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.22e-10,1.07e-10,9.32e-11,7.94e-11,6.62e-11,5.43e-11,-10000.0,4.37e-11,3.47e-11,2.7e-11,-10000.0,2.05e-11,1.55e-11,-10000.0,1.15e-11,8.44e-12,-10000.0,6.15e-12,4.41e-12,-10000.0,3.12e-12,-10000.0,2.16e-12,1.47e-12,9.72e-13,6.28e-13,3.93e-13,2.43e-13,1.51e-13,9.05e-14,5.52e-14,3.21e-14,1.95e-14,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0304,0.0303,0.0302,0.0301,0.0301,0.0302,-10000.0,0.0304,0.0306,0.0307,-10000.0,0.031,0.0311,-10000.0,0.0311,0.0312,-10000.0,0.031,0.0309,-10000.0,0.0309,-10000.0,0.031,0.0308,0.0303,0.0307,0.0314,0.0314,0.0326,0.0438,0.067,0.054,0.0862
300101,42651.69659,243137.4,3942444.5,185.2,36.12,13,1,1.9e-09,1.27e-09,8.12e-10,5.18e-10,3.3e-10,2.09e-10,1.3e-10,8.11e-11,4.72e-11,2.75e-11,1.75e-11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.01e-11,-10000.0,-10000.0,-10000.0,5.39e-12,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0569,0.0533,0.0483,0.0452,0.0408,0.0349,0.0312,0.0313,0.0338,0.0541,0.0369,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0384,-10000.0,-10000.0,-10000.0,0.0533,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
300101,42651.69659,243137.4,3942444.5,185.2,36.12,27,2,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.21e-10,1.07e-10,9.31e-11,7.94e-11,6.62e-11,5.44e-11,-10000.0,4.38e-11,3.47e-11,2.7e-11,-10000.0,2.05e-11,1.55e-11,-10000.0,1.15e-11,8.43e-12,-10000.0,6.13e-12,4.39e-12,-10000.0,3.1e-12,-10000.0,2.15e-12,1.46e-12,9.68e-13,6.28e-13,3.95e-13,2.44e-13,1.49e-13,8.83e-14,5.42e-14,3.33e-14,1.85e-14,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0302,0.0302,0.0301,0.0301,0.0301,0.0302,-10000.0,0.0302,0.0304,0.0305,-10000.0,0.0308,0.0311,-10000.0,0.0312,0.0316,-10000.0,0.0315,0.0317,-10000.0,0.0315,-10000.0,0.031,0.031,0.0305,0.0307,0.0319,0.0315,0.032,0.0389,0.061,0.045,0.0558
300101,42651.69661,243168.8,3942414.5,185.2,34.67,14,1,2.14e-09,1.43e-09,9.13e-10,5.79e-10,3.62e-10,2.27e-10,1.39e-10,8.58e-11,5.12e-11,2.85e-11,1.79e-11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.05e-11,-10000.0,-10000.0,-10000.0,5.35e-12,-10000.0,-10000.0,3.44e-12,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0947,0.0923,0.0868,0.0833,0.0779,0.0653,0.061,0.0489,0.0607,0.0661,0.0364,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0439,-10000.0,-10000.0,-10000.0,0.0513,-10000.0,-10000.0,0.11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
300101,42651.69661,243168.8,3942414.5,185.2,34.67,27,2,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.38e-10,1.21e-10,1.04e-10,8.81e-11,7.26e-11,5.88e-11,-10000.0,4.67e-11,3.65e-11,2.8e-11,-10000.0,2.11e-11,1.57e-11,-10000.0,1.16e-11,8.49e-12,-10000.0,6.17e-12,4.41e-12,-10000.0,3.12e-12,-10000.0,2.16e-12,1.47e-12,9.74e-13,6.29e-13,3.98e-13,2.47e-13,1.51e-13,8.7e-14,5.56e-14,3.12e-14,1.94e-14,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0631,0.0605,0.0581,0.0552,0.0519,0.0485,-10000.0,0.0448,0.0415,0.0388,-10000.0,0.0368,0.0351,-10000.0,0.0339,0.0339,-10000.0,0.0335,0.0319,-10000.0,0.0317,-10000.0,0.0318,0.0318,0.0315,0.0311,0.0334,0.035,0.0344,0.0375,0.0611,0.0546,0.0731
300101,42651.69663,243197.8,3942381.5,185.4,32.51,13,1,2.53e-09,1.66e-09,1.05e-09,6.58e-10,4.1e-10,2.53e-10,1.56e-10,9.38e-11,5.53e-11,3.07e-11,1.89e-11,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1.07e-11,-10000.0,-10000.0,-10000.0,5.84e-12,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0804,0.0754,0.0725,0.0701,0.0691,0.0675,0.0546,0.0472,0.0597,0.0573,0.0507,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0449,-10000.0,-10000.0,-10000.0,0.065,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
