Fid,Line,Flight,DateTime,Date,Time,Height,DTM,Lon,Lat,Alt,GdSpeed,Easting,Northing,MagRaw,Mag_interpolated,Drift_nl4,Drift_nl4_interpolated,Mag_driftremov,Mag_driftremov_1Ddrap,Mag_driftremovdrap_IGRFremov,Dec,Inc,IGRF
167542.2,500201,20141029.04,41941.9391458333,2014/10/29,22:32:22,40.1,609.0,-105.26246417,48.13690261,649.1,77.8,480473.216,5331549.871,,56003.0765,,2.40000000000582,56000.6765,56000.5439075043,-302.021995124502,9.30521106719971,72.7914544881689,56302.5659026288
167542.3,500201,20141029.04,41941.9391469907,2014/10/29,22:32:22,40.3,608.7,-105.26245745,48.13688373,649.0,77.7,480473.709,5331547.771,,56002.9147,,2.40500000000538,56000.5097,56000.4604737198,-302.107400458364,9.30520629882813,72.7914418313477,56302.5678741782
167542.4,500201,20141029.04,41941.9391481481,2014/10/29,22:32:22,40.5,608.3,-105.26245072,48.13686485,648.9,77.6,480474.203,5331545.671,56002.7529,56002.7529,,2.41000000000495,56000.3429,56000.3723716689,-302.200345953941,9.30520153045654,72.7914292314897,56302.5727176229
167542.5,500201,20141029.04,41941.9391493056,2014/10/29,22:32:22,40.7,608.1,-105.26244399,48.13684597,648.8,77.5,480474.696,5331543.571,56002.5911,56002.5911,,2.41500000000451,56000.1761,56000.2916605747,-302.280158241643,9.30519580841064,72.7914165206259,56302.5718188164
167542.6,500201,20141029.04,41941.939150463,2014/10/29,22:32:23,40.9,607.8,-105.26243727,48.13682709,648.7,77.4,480475.189,5331541.471,56002.6137,56002.6137,,2.42000000000407,56000.1937,56000.2193302961,-302.354460047245,9.30519104003906,72.7914038637938,56302.5737903434
167542.7,500201,20141029.04,41941.9391516204,2014/10/29,22:32:23,41.0,607.5,-105.26243054,48.13680821,648.6,77.4,480475.682,5331539.37,56002.5928,56002.5928,,2.42500000000364,56000.1678,56000.1515193447,-302.424243299087,9.30518627166748,72.7913912084239,56302.5757626437
167542.8,500201,20141029.04,41941.9391527778,2014/10/29,22:32:23,41.2,607.2,-105.26242382,48.13678933,648.5,77.3,480476.176,5331537.27,,56002.51782,,2.4300000000032,56000.08782,56000.0836739734,-302.494060182376,9.30518054962158,72.7913785515846,56302.5777341557
167542.9,500201,20141029.04,41941.9391539352,2014/10/29,22:32:23,41.4,606.9,-105.26241709,48.13677045,648.4,77.2,480476.669,5331535.17,,56002.44284,,2.43500000000277,56000.00784,56000.0157553325,-302.563951108634,9.30517578125,72.7913658962075,56302.5797064411
167543.0,500201,20141029.04,41941.9391550926,2014/10/29,22:32:23,41.6,606.6,-105.26241036,48.13675157,648.3,77.1,480477.162,5331533.07,,56002.36786,2.44000000000233,2.44000000000233,55999.92786,55999.9500458132,-302.631632905861,9.30517101287842,72.7913532408267,56302.581678719
167543.1,500201,20141029.04,41941.93915625,2014/10/29,22:32:23,41.9,606.4,-105.26240251,48.13673321,648.2,76.8,480477.74,5331531.027,,56002.29288,,2.44500000000189,55999.84788,55999.8919623925,-302.689102310855,9.30516529083252,72.7913410744182,56302.5810647034
167543.2,500201,20141029.04,41941.9391574074,2014/10/29,22:32:23,42.1,606.1,-105.26239465,48.13671485,648.2,76.6,480478.317,5331528.984,56002.2179,56002.2179,,2.45000000000146,55999.7679,55999.838114068,-302.745208517154,9.30515956878662,72.7913289649724,56302.5833225852
167543.3,500201,20141029.04,41941.9391585648,2014/10/29,22:32:23,42.3,605.8,-105.26238679,48.13669648,648.1,76.3,480478.895,5331526.941,56002.3996,56002.3996,,2.45500000000102,55999.9446,55999.7913955965,-302.794181067606,9.30515384674072,72.7913168482095,56302.5855766641
167543.4,500201,20141029.04,41941.9391597222,2014/10/29,22:32:23,42.4,605.6,-105.26237894,48.13667812,648.1,76.0,480479.472,5331524.898,56002.2988,56002.2988,,2.46000000000058,55999.8388,55999.7436150612,-302.841347565591,9.30514717102051,72.7913046817912,56302.5849626268
167543.5,500201,20141029.04,41941.9391608796,2014/10/29,22:32:24,42.6,605.5,-105.26237108,48.13665976,648.0,75.8,480480.05,5331522.855,56002.2982,56002.2982,,2.46500000000015,55999.8332,55999.6981184634,-302.883359775304,9.30514144897461,72.7912924613356,56302.5814782387
167543.6,500201,20141029.04,41941.939162037,2014/10/29,22:32:24,42.8,605.2,-105.26236322,48.1366414,648.0,75.5,480480.628,5331520.812,56002.2715,56002.2715,,2.46999999999971,55999.8015,55999.6422452892,-302.941490802725,9.30513572692871,72.7912803518764,56302.583736092
