Line,ALTRAD,JulianDate,DIURNAL_COR,DIURNAL,FID,Flight,FX,FY,FZ,IGRF,lat_wgs84,lon_wgs84,MAG_RAW,MAG_LAG,MAG_DIU,MAG_Tie,MAG_LEV,TMF,X_wgs84,Y_wgs84,UTC_TIME,bearing,DATE,GPSZ
L10010,76.71418647,2014062,5.431256916,53036.63126,1917.0,19004,-49414.707,-14207.254,-534.667,52485.54273,38.31906852,-91.28245629,52558.78769,52558.35283,52552.92157,52568.76142,52571.76142,52418.21869,650145.3062,4242612.896,57119.0,179.9805756,3/3/2014,330.1226279
L10010,76.15495948,2014062,5.429369327,53036.62937,1917.5,19004,-49298.614,-14533.331,-1258.19,52485.45759,38.3189076,-91.28246015,52558.76986,52557.81704,52552.38767,52568.22752,52571.22752,52417.76992,650145.3011,4242595.032,57119.5,179.9805756,3/3/2014,329.9472666
L10010,76.33640352,2014062,5.427500494,53036.6275,1918.0,19004,-49209.321,-14797.879,-1445.726,52485.37246,38.31874668,-91.282464,52558.64868,52557.57359,52552.14609,52567.98594,52570.98594,52417.61348,650145.296,4242577.169,57120.0,179.9805756,3/3/2014,329.7719054
L10010,77.23053414,2014062,5.425650811,53036.62565,1918.5,19004,-49114.911,-14914.954,-2649.709,52485.28704,38.31858526,-91.28246639,52558.43218,52556.93276,52551.50711,52567.34695,52570.34695,52417.05991,650145.4204,4242559.252,57120.5,179.9805756,3/3/2014,329.4365413
L10010,79.12435127,2014062,5.423820602,53036.62382,1919.0,19004,-49072.248,-14860.271,-3504.191,52485.20162,38.31842384,-91.28246877,52558.08046,52556.46611,52551.04229,52566.88214,52569.88214,52416.68051,650145.5449,4242541.335,57121.0,179.9805756,3/3/2014,329.1011773
L10010,81.46190804,2014062,5.4220103,53036.62201,1919.5,19004,-49137.983,-14732.58,-3161.506,52485.1158,38.3182617,-91.28246832,52557.66345,52555.87507,52550.45305,52566.2929,52569.2929,52416.1771,650145.919,4242523.343,57121.5,179.9805756,3/3/2014,328.8408084
L10010,85.51487679,2014062,5.420220264,53036.62022,1920.0,19004,-49246.048,-14728.023,-867.855,52485.02998,38.31809956,-91.28246787,52557.21996,52555.21387,52549.79365,52565.63349,52568.63349,52415.60351,650146.293,4242505.352,57122.0,179.9805756,3/3/2014,328.5804396
L10010,92.91932212,2014062,5.418450591,53036.61845,1920.5,19004,-49222.704,-14821.614,1018.906,52484.94369,38.31793658,-91.28246488,52556.67845,52554.82525,52549.4068,52565.24665,52568.24665,52415.30296,650146.8903,4242487.271,57122.5,179.9805756,3/3/2014,328.415066
L10010,95.92178397,2014062,5.416701486,53036.6167,1921.0,19004,-49182.884,-14955.446,777.929,52484.85739,38.3177736,-91.2824619,52556.08494,52554.33438,52548.91768,52564.75753,52567.75753,52414.90013,650147.4876,4242469.19,57123.0,179.9805756,3/3/2014,328.2496925
L10010,95.78058468,2014062,5.41497326,53036.61497,1921.5,19004,-49155.494,-15047.455,552.479,52484.77082,38.31761012,-91.2824567,52555.45678,52553.90101,52548.48604,52564.32588,52567.32588,52414.55506,650148.2794,4242451.057,57123.5,179.9805756,3/3/2014,327.6143153
L10010,95.58539312,2014062,5.413266148,53036.61327,1922.0,19004,-49325.378,-14505.746,89.859,52484.68424,38.31744664,-91.2824515,52554.96766,52553.38704,52547.97378,52563.81362,52566.81362,52414.12938,650149.0713,4242432.924,57124.0,179.9805756,3/3/2014,326.9789381
L10010,95.63084902,2014062,5.411580118,53036.61158,1922.5,19004,-49326.484,-14498.108,-165.989,52484.59707,38.31728212,-91.2824429,52554.53819,52552.61169,52547.20011,52563.03995,52566.03995,52413.44288,650150.1623,4242414.681,57124.5,179.9805756,3/3/2014,326.4235548
L10010,96.02714563,2014062,5.409915055,53036.60992,1923.0,19004,-49253.381,-14709.916,-637.428,52484.50991,38.31711759,-91.28243431,52554.0556,52552.15865,52546.74874,52562.58858,52565.58858,52413.07868,650151.2532,4242396.437,57125.0,179.9805756,3/3/2014,325.8681714
L10010,96.43175537,2014062,5.408270956,53036.60827,1923.5,19004,-49205.381,-14872.032,-408.989,52484.42246,38.31695251,-91.28242693,52553.65037,52551.94284,52546.53457,52562.37441,52565.37441,52412.95195,650152.2391,4242378.131,57125.5,179.9805756,3/3/2014,324.9977882
L10010,96.29967646,2014062,5.406647733,53036.60665,1924.0,19004,-49347.92,-14417.375,-208.158,52484.33501,38.31678743,-91.28241955,52552.87417,52551.81361,52546.40696,52562.24681,52565.24681,52412.91179,650153.225,4242359.824,57126.0,179.9805756,3/3/2014,324.1274049
L10010,95.67303833,2014062,5.405045222,53036.60505,1924.5,19004,-49506.559,-13856.551,-814.828,52484.24711,38.31662147,-91.2824134,52552.32986,52551.35714,52545.95209,52561.79194,52564.79194,52412.54483,650154.1049,4242341.417,57126.5,179.9805756,3/3/2014,323.207021
L10010,95.05247307,2014062,5.403462994,53036.60346,1925.0,19004,-49486.106,-13874.716,-1354.265,52484.1592,38.3164555,-91.28240725,52551.97188,52550.85034,52545.44688,52561.28673,52564.28673,52412.12752,650154.9849,4242323.01,57127.0,179.9805756,3/3/2014,322.2866371
L10010,94.65793558,2014062,5.401900356,53036.6019,1925.5,19004,-49459.74,-14006.145,-913.226,52484.07072,38.31628851,-91.28239834,52551.8972,52550.69765,52545.29575,52561.1356,52564.1356,52412.06487,650156.1081,4242304.493,57127.5,179.9805756,3/3/2014,321.6062478
L10010,94.22547444,2014062,5.400356357,53036.60036,1926.0,19004,-49446.035,-14093.842,55.009,52483.98225,38.31612151,-91.28238944,52551.58709,52550.68664,52545.28628,52561.12612,52564.12612,52412.14388,650157.2313,4242285.975,57128.0,179.9805756,3/3/2014,320.9258585
L10010,93.78544379,2014062,5.398829787,53036.59883,1926.5,19004,-49278.136,-14647.652,224.79,52483.89346,38.31595391,-91.28238189,52551.02706,52550.8332,52545.43437,52561.27421,52564.27421,52412.38075,650158.2365,4242267.389,57128.5,179.9805756,3/3/2014,320.3404694
