_100I,_100Q,_1K5I,_1K5Q,_1K7I,_1K7Q,_25KI,_25KQ,_400I,_400Q,_6K2I,_6K2Q,ALTBIRDM,ALTBIRDR,ALTLASER,ALTRFT,BALT,BALTFIN,CPI100K,CPI1500,CPI25K,CPI400,CPI6200,CPIR100K,CPIR1500,CPIR25K,CPIR400,CPIR6200,CPPL,CPPLR,CPQ100K,CPQ1500,CPQ25K,CPQ400,CPQ6200,CPQR100K,CPQR1500,CPQR25K,CPQR400,CPQR6200,CPSP,CPSPR,CXI3300,CXIR3300,CXPL,CXPLR,CXQ3300,CXQR3300,CXSP,CXSPR,DEMB,DEMBLEV,DEMZ,DEMZL,DEP100K,DEP1500,DEP25K,DEP3300,DEP400,DEP6200,DIURNAL,FID,IGRF,KPA1,L100I,L100Q,L1K5I,L1K5Q,L1K7I,L1K7Q,L25KI,L25KQ,L400I,L400Q,L6K2I,L6K2Q,LAT_BIRD,LAT_HELI,LAT_HELI_RAW,LON_BIRD,LON_HELI,LON_HELI_RAW,LSR1,MAGD,MAGDL,MAGIGRF,MAGSP,MAGUR,RES100K,RES100K_NF,RES100KF,RES1500,RES1500_NF,RES1500F,RES25K,RES25K_NF,RES25KF,RES3300,RES3300_NF,RES3300F,RES400,RES400_NF,RES400F,RES6200,RES6200_NF,RES6200F,UTC,X,X27,X_bird83,X_heli83,Y,Y27,Y_bird83,Y_heli83,Z,Z_BIRD,Z_HELI,Z_HELI_RAW
90.90000153,-25.60000038,-20.89999962,-1.700000048,94.80000305,-11.39999962,137.3000031,-29.20000076,98.69999695,14.60000038,0.200000003,1.200000048,23.23890686,22.61615944,21.8460168,170.1999969,1834.087402,1869.373672,20.58548355,9.977618217,15.55212688,0.661355793,3.11755991,32.69956589,9.977618217,36.88149261,3.682896852,16.42867088,0.10022527,1.200000048,35.047966,9.18119812,16.75903511,6.153518677,7.034164429,25.46437836,9.18119812,9.097384453,6.153518677,11.01632595,-0.081081137,3.599999905,8.17869854,9.17869854,0.052152152,0.6,3.680185795,2.980185509,-0.037762763,0.0,1811.229477,1846.134766,1953.461044,1954.853934,29.1790657,116.081665,83.8618927,118.7167511,24.54285431,0,-80.23046875,3980.100098,54500.16797,81.8259964,31.7557373,25.24117088,9.952074051,8.650040627,9.705617905,2.27062726,42.68796158,1.848087072,4.1184659,7.961758137,15.56379223,11.65296936,48.79704556,48.79705496,48.79705721,-121.7849551,-121.7849548,-121.7850463,8.600000381,56176.14063,56181.40625,1681.238281,56095.911,56095.911,18326.21094,14876.9082,18326.21094,82.72064209,85.78248596,82.72064209,1279.854492,1197.533691,1279.854492,32.43194199,34.09230804,32.43194199,444.9998779,445,444.9998779,5967.350098,5157.435059,5967.350098,68381.10156,589231.1073,589324.1202,589231.1112,589231.1112,5405606.608,5405411.2,5405606.465,5405607.653,1976.699951,1976.699951,2004.295044,2002.430908
92.09999847,-26.79999924,-21.10000038,-1.200000048,94.59999847,-11.19999981,131.8000031,-25.60000038,96.80000305,13.39999962,0.899999976,0.699999988,23.25692368,22.46375847,21.99248666,169.6999969,1834.506714,1869.495571,20.80047226,9.97556591,15.44772911,0.672246575,3.17250967,32.88175583,9.97556591,36.78046799,3.694033861,16.48150826,-0.199774802,0.899999976,35.00633621,9.168731689,17.01139259,6.055356026,7.014826298,25.42910004,9.168731689,9.321255684,6.055356026,10.99639988,-0.081081137,3.599999905,8.191774368,9.191774368,0.052152152,0.6,3.751318455,3.051318407,-0.037762763,0.0,1811.336704,1846.238647,1953.73303,1954.997467,30.17670441,116.1629181,82.69511414,117.9946289,24.98272705,0,-80.22568512,3980.199951,54500.17969,81.8219986,32.95450211,24.04113197,9.753034592,9.150382996,9.503354073,2.470949888,37.18561935,5.448497772,2.21714735,6.761696815,16.26435089,11.15321159,48.79704674,48.79705517,48.79705745,-121.7849579,-121.7849577,-121.7850526,8.699999809,56176.46094,56181.85156,1681.671875,56096.234,56096.234,18363.18164,14345.53223,18363.18164,82.69807434,85.6512146,82.69807434,1279.746338,1235.149536,1279.746338,32.39717865,35.15209961,32.39717865,444.9998779,445,444.9998779,5975.51123,5105.928223,5975.51123,68381.20313,589230.8308,589323.8437,589230.8979,589230.8979,5405606.765,5405411.357,5405606.593,5405607.672,1976.989954,1976.989954,2004.526123,2002.661987
92.69999695,-23.79999924,-20.89999962,-0.699999988,94.59999847,-10.39999962,125.6999969,-26.79999924,98.59999847,12.39999962,1.200000048,0.0,23.28237724,22.34184074,22.1435472,169.3000031,1834.716064,1869.666044,21.02793503,9.973654747,15.3394413,0.670516014,3.225180149,33.07452393,9.973654747,36.67599487,3.692549467,16.53206444,-0.199774802,0.899999976,34.94487381,9.150990486,17.31199455,5.932182789,6.980993748,25.37701035,9.150990486,9.587821007,5.932182789,10.96197987,-0.081081137,3.599999905,8.21074295,9.21074295,0.052152152,0.6,3.835572004,3.135572195,0.262237237,0.3,1811.484835,1846.383667,1953.997579,1955.136409,31.26292419,116.3111725,81.26248169,117.1142197,25.38069153,0,-80.22052765,3980.300049,54500.14453,81.81999969,33.55326843,27.04109192,9.953999519,9.650727272,9.501089096,3.271273613,31.08326912,4.24890995,4.015814781,5.76163578,16.56490898,10.45345497,48.79704808,48.7970554,48.79705772,-121.784961,-121.7849607,-121.785059,8.699999809,56176.77344,56182.29688,1682.152344,56096.556,56096.556,18422.72852,13817.46875,18422.72852,82.66912079,85.38868713,82.66912079,1279.240479,1280.463623,1279.240479,32.34655762,36.35568237,32.34655762,444.9998779,445,444.9998779,5986.004883,5073.090332,5986.004883,68381.30469,589230.5543,589323.5673,589230.6722,589230.6722,5405606.922,5405411.514,5405606.738,5405607.695,1977.279956,1977.279956,2004.751465,2002.887329
93.90000153,-25.0,-20.79999924,-1.200000048,93.80000305,-10.39999962,126.3000031,-21.89999962,99.90000153,11.10000038,2.599999905,0.699999988,23.31562805,23.98775864,22.29885797,174.6999969,1834.926025,1869.870682,21.23316956,9.971918106,15.23200417,0.652684808,3.264502048,33.24845123,9.971918106,36.57227707,3.674964666,16.56927299,0.10022527,1.200000048,34.86090088,9.127717018,17.64055824,5.7898283,6.931677341,25.30584908,9.127717018,9.879130363,5.7898283,10.91207504,0.218919054,3.900000095,8.235785484,9.235785484,0.352152152,0.9,3.921765089,3.221765041,0.262237237,0.3,1811.65947,1846.555054,1954.25433,1955.271101,32.20515823,116.4668045,79.87561035,116.3092117,25.73152161,0,-80.2155304,3980.399902,54500.12109,81.81800079,34.75204468,25.84104919,10.0549612,9.151070595,8.698834419,3.271596432,31.68093491,9.149319649,5.314493179,4.461576462,17.96546745,11.15369701,48.79704954,48.79705569,48.79705804,-121.7849642,-121.784964,-121.7850654,8.800000191,56177.09766,56182.73438,1682.613281,56096.884,56096.884,18505.63672,13365.08301,18505.63672,82.63399506,85.11048889,82.63399506,1278.334106,1324.466797,1278.334106,32.28033066,37.40694046,32.28033066,444.9998779,445,444.9998779,5998.786621,5053.790039,5998.786621,68381.40625,589230.2779,589323.2908,589230.4336,589230.4336,5405607.079,5405411.671,5405606.897,5405607.722,1977.569958,1977.569958,2004.969727,2003.105591
95.19999695,-26.79999924,-20.79999924,-1.5,93.80000305,-8.600000381,126.9000015,-17.70000076,99.09999847,11.30000019,2.099999905,0.899999976,23.35700226,23.6829586,22.45804521,173.6999969,1835.345215,1870.094917,21.38148117,9.970377922,15.13010597,0.616593003,3.279080153,33.37413788,9.970377922,36.47346497,3.63911891,16.58173752,-0.499774754,0.600000024,34.75180054,9.099478722,17.97441673,5.635754585,6.867288113,25.21339226,9.099478722,10.17512703,5.635754585,10.8470974,-0.081081137,3.599999905,8.266221046,9.266221046,0.352152152,0.9,3.998432159,3.29843235,-0.037762763,0.0,1811.845512,1846.737915,1954.502959,1955.401916,32.9191246,116.6534958,78.4881134,115.5815659,25.98958588,0,-80.20996094,3980.5,54500.13672,81.81400299,36.05080414,24.0410099,10.05592537,8.851413727,8.696569443,5.071918964,32.27858734,13.34972954,4.513162136,4.661515236,17.46602631,11.35393906,48.79705109,48.79705602,48.7970584,-121.7849676,-121.7849674,-121.785072,8.899999619,56177.43359,56183.17578,1683.039063,56097.224,56097.224,18612.52344,13042.66113,18612.52344,82.59300995,84.77081299,82.59300995,1277.031494,1368.431885,1277.031494,32.19894028,38.24355316,32.19894028,444.9998779,445,444.9998779,6013.791992,5063.089844,6013.791992,68381.50781,589230.0014,589323.0143,589230.1813,589230.1813,5405607.236,5405411.828,5405607.065,5405607.755,1977.859961,1977.859961,2005.180176,2003.31604
91.5,-25.0,-20.89999962,-1.299999952,94.59999847,-9.399999619,130.0,-17.70000076,98.69999695,11.80000019,1.899999976,0.899999976,23.40657997,23.50008202,22.620705,173.1000061,1835.555298,1870.322962,21.44014359,9.969022751,15.03814983,0.561628342,3.259863377,33.42385101,9.969022751,36.38344574,3.584400654,16.56040764,-0.199774802,0.899999976,34.61541748,9.067593575,18.28745461,5.478816986,6.788165092,25.09781075,9.067593575,10.45269585,5.478816986,10.76738739,0.218919054,3.900000095,8.301445007,9.301445007,0.352152152,0.9,4.054603577,3.354603767,-0.037762763,0.0,1812.027136,1846.916382,1954.743383,1955.529258,33.24898529,116.8634109,77.19897461,115.0238037,26.11887741,0,-80.2043457,3980.600098,54500.11719,81.81199646,32.34957504,25.84096909,9.956889153,9.051757813,9.494299889,4.2722435,35.37623978,13.35014057,4.111832619,5.161454678,17.2665863,11.35418224,48.79705269,48.7970564,48.79705882,-121.7849712,-121.784971,-121.7850787,8.899999619,56177.78125,56183.62891,1683.511719,56097.578,56097.578,18743.81836,12918.45996,18743.81836,82.54647064,84.39189911,82.54647064,1275.338257,1409.354736,1275.338257,32.10295105,38.70454788,32.10295105,444.9998779,445,444.9998779,6030.937988,5109.555664,6030.937988,68381.60625,589229.7249,589322.7378,589229.9148,589229.9148,5405607.393,5405411.985,5405607.238,5405607.794,1978.149963,1978.149963,2005.382202,2003.518066
90.90000153,-23.10000038,-21.20000076,-1.5,96.80000305,-11.39999962,131.1999969,-18.29999924,97.90000153,12.60000038,1.700000048,0.200000003,23.46417427,23.5915184,22.78640824,173.3999939,1835.555298,1870.544863,21.38668442,9.966392517,14.95992088,0.488775074,3.202932835,33.37854767,9.966392517,36.30558014,3.511793613,16.50136375,1.000225067,2.099999905,34.45037079,9.033008575,18.55161667,5.328391552,6.694506645,24.95794296,9.033008575,10.68701267,5.328391552,10.67314148,-0.081081137,3.599999905,8.340963364,9.340963364,0.052152152,0.6,4.08147192,3.381471872,-0.037762763,0.0,1812.194761,1847.080688,1954.975792,1955.653558,33.1081543,117.0894318,76.10285187,114.6980133,26.0953598,0,-80.1987915,3980.699951,54500.13281,81.81199646,31.74834442,27.74092865,9.657849312,8.852100372,11.69204521,2.27256608,36.57389832,12.75055218,3.310512781,5.96139431,17.06714439,10.65442371,48.79705429,48.79705682,48.79705927,-121.784975,-121.7849749,-121.7850854,9.0,56178.13281,56184.07422,1683.941406,56097.935,56097.935,18899.77344,13030.21582,18899.77344,82.49472809,84.0064621,82.49472809,1273.265747,1444.262329,1273.265747,31.99303627,38.68733978,31.99303627,444.9998779,445,444.9998779,6050.118164,5196.907227,6050.118164,68381.70469,589229.4484,589322.4614,589229.6334,589229.6334,5405607.55,5405412.142,5405607.412,5405607.836,1978.439966,1978.439966,2005.578369,2003.714233
93.90000153,-25.60000038,-21.29999924,-1.5,96.19999695,-10.60000038,133.0,-17.0,97.19999695,12.19999981,0.899999976,0.400000006,23.52932739,23.19528198,22.95470454,172.1000061,1835.765259,1870.761383,21.21564102,9.959348679,14.89772987,0.400734723,3.110111952,33.2335968,9.959348679,36.2419014,3.42399931,16.40642929,0.400225222,1.5,34.25965118,8.995657921,18.74092865,5.192485332,6.588730812,24.79631615,8.995657921,10.85509109,5.192485332,10.56677723,0.218919054,3.900000095,8.382722855,9.382722855,-0.247847848,0.3,4.074689388,3.374689341,-0.037762763,0.0,1812.349213,1847.232056,1955.200641,1955.775264,32.52399445,117.3268967,75.28682709,114.6155014,25.91038132,0,-80.19340515,3980.800049,54500.12109,81.80999756,34.74711227,25.2408886,9.558815002,8.852444649,11.08977413,3.072888851,38.37155533,14.0509634,2.609180212,5.561333179,16.26770401,10.85466671,48.79705587,48.79705725,48.79705973,-121.784979,-121.7849789,-121.7850923,9.100000381,56178.49609,56184.51953,1684.398438,56098.301,56098.301,19080.47656,13368.37988,19080.47656,82.43807983,83.65323639,82.43807983,1270.826538,1470.458862,1270.826538,31.87000465,38.1893959,31.87000465,444.9998779,445,444.9998779,6071.216797,5322.327637,6071.216797,68381.80313,589229.172,589322.1849,589229.3365,589229.3365,5405607.707,5405412.299,5405607.583,5405607.879,1978.729968,1978.729968,2005.771973,2003.907837
92.09999847,-27.39999962,-20.89999962,-1.299999952,94.80000305,-10.60000038,135.3999939,-11.5,98.5,11.5,0.699999988,0.0,23.60161209,23.01239967,23.12512617,171.5,1836.07959,1870.974415,20.96356583,9.944221497,14.85215473,0.301728249,2.99232173,33.01997375,9.944221497,36.19293213,3.325239182,16.28652573,0.400225222,1.5,34.044384,8.953108788,18.83376503,5.076947689,6.476791382,24.61388779,8.953108788,10.93779278,5.076947689,10.45424938,-0.081081137,3.599999905,8.426529884,9.426529884,-0.247847848,0.3,4.039937496,3.339937687,-0.037762763,0.0,1812.493114,1847.372803,1955.418359,1955.894845,31.62401772,117.5730896,74.82521057,114.7305145,25.58215332,0,-80.18868256,3980.899902,54500.11719,81.80699921,32.94587708,23.4408474,9.959775925,9.052787781,9.687520981,3.07321167,40.769207,19.55137253,3.90785861,4.861272812,16.0682621,10.45490837,48.79705739,48.79705768,48.79706018,-121.7849832,-121.7849831,-121.7850992,9.199999809,56178.87109,56184.96094,1684.84375,56098.684,56098.684,19285.79492,13879.73828,19285.79492,82.37690735,83.36742401,82.37690735,1268.03833,1485.77417,1268.03833,31.73474121,37.32612991,31.73474121,444.9998779,445,444.9998779,6094.089844,5476.51416,6094.089844,68381.90156,589228.8955,589321.9084,589229.0235,589229.0235,5405607.864,5405412.456,5405607.747,5405607.921,1979.019971,1979.019971,2005.966187,2004.102051
90.90000153,-23.79999924,-20.79999924,-1.0,93.80000305,-9.199999809,129.3000031,-13.39999962,98.19999695,12.60000038,0.400000006,0.0,23.68061447,23.62199974,23.29719191,173.5,1836.498901,1871.184399,20.68603516,9.918764114,14.82195091,0.197087482,2.866981506,32.78477478,9.918764114,36.15756226,3.220844746,16.15907288,0.700225174,1.799999952,33.81039429,8.905220032,18.81410789,4.985636711,6.362523079,24.41558838,8.905220032,10.92094326,4.985636711,10.33939362,0.218919054,3.900000095,8.469274521,9.469274521,0.352152152,0.9,3.992057323,3.292057514,-0.037762763,0.0,1812.627369,1847.503784,1955.629359,1956.012781,30.57577896,117.8304901,74.77476501,114.9564056,25.23893738,0,-80.18393707,3981.0,54500.08594,81.8030014,31.74464798,27.04080772,10.06074047,9.353131294,8.685256958,4.473536015,34.66687012,17.6517849,3.606527805,5.961212635,15.76882172,10.45515156,48.7970588,48.79705807,48.7970606,-121.7849877,-121.7849876,-121.7851061,9.300000191,56179.25781,56185.41016,1685.324219,56099.075,56099.075,19515.45117,14490.02734,19515.45117,82.31156921,83.16381836,82.31156921,1264.920532,1488.718628,1264.920532,31.58825874,36.29846573,31.58825874,444.9998779,445,444.9998779,6118.583984,5645.962891,6118.583984,68382.0,589228.619,589321.632,589228.6937,589228.6937,5405608.021,5405412.613,5405607.899,5405607.96,1979.309973,1979.309973,2006.164185,2004.300049
