LINE,X_UTM14N,Y_UTM14N,LAT_WGS84,LON_WGS84,DOI_SAMPL,DEM_SAMPL,ELEVATION_TOP[0],ELEVATION_TOP[1],ELEVATION_TOP[2],ELEVATION_TOP[3],ELEVATION_TOP[4],ELEVATION_TOP[5],ELEVATION_TOP[6],ELEVATION_TOP[7],ELEVATION_TOP[8],ELEVATION_TOP[9],ELEVATION_TOP[10],ELEVATION_TOP[11],ELEVATION_TOP[12],ELEVATION_TOP[13],ELEVATION_TOP[14],ELEVATION_TOP[15],ELEVATION_TOP[16],ELEVATION_TOP[17],ELEVATION_TOP[18],ELEVATION_TOP[19],ELEVATION_TOP[20],ELEVATION_TOP[21],ELEVATION_TOP[22],ELEVATION_TOP[23],ELEVATION_TOP[24],ELEVATION_TOP[25],ELEVATION_TOP[26],ELEVATION_TOP[27],RES2_REF30_ABOVE_DOI_SAMPL[0],RES2_REF30_ABOVE_DOI_SAMPL[1],RES2_REF30_ABOVE_DOI_SAMPL[2],RES2_REF30_ABOVE_DOI_SAMPL[3],RES2_REF30_ABOVE_DOI_SAMPL[4],RES2_REF30_ABOVE_DOI_SAMPL[5],RES2_REF30_ABOVE_DOI_SAMPL[6],RES2_REF30_ABOVE_DOI_SAMPL[7],RES2_REF30_ABOVE_DOI_SAMPL[8],RES2_REF30_ABOVE_DOI_SAMPL[9],RES2_REF30_ABOVE_DOI_SAMPL[10],RES2_REF30_ABOVE_DOI_SAMPL[11],RES2_REF30_ABOVE_DOI_SAMPL[12],RES2_REF30_ABOVE_DOI_SAMPL[13],RES2_REF30_ABOVE_DOI_SAMPL[14],RES2_REF30_ABOVE_DOI_SAMPL[15],RES2_REF30_ABOVE_DOI_SAMPL[16],RES2_REF30_ABOVE_DOI_SAMPL[17],RES2_REF30_ABOVE_DOI_SAMPL[18],RES2_REF30_ABOVE_DOI_SAMPL[19],RES2_REF30_ABOVE_DOI_SAMPL[20],RES2_REF30_ABOVE_DOI_SAMPL[21],RES2_REF30_ABOVE_DOI_SAMPL[22],RES2_REF30_ABOVE_DOI_SAMPL[23],RES2_REF30_ABOVE_DOI_SAMPL[24],RES2_REF30_ABOVE_DOI_SAMPL[25],RES2_REF30_ABOVE_DOI_SAMPL[26],RES2_REF30_ABOVE_DOI_SAMPL[27]
10010,678643.7,4852620.8,43.48.18.2772,-96.46.44.7077,94.36,479.7,479.7,478.7,477.55,476.26,474.79,473.12,471.24,469.09,466.66,463.91,460.79,457.25,453.23,448.67,443.51,437.65,431.01,423.47,414.93,405.24,394.25,381.79,367.66,351.64,333.47,312.86,289.49,262.99,43.62,42.97,42.14,41.71,42.43,45.07,50.46,59.16,70.97,84.18,95.67,101.77,99.23,86.13,63.64,38.18,19.45,12.43,16.82,29.32,43.68,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678645.27,4852621.05,43.48.18.2838,-96.46.44.6369,94.37,479.66,479.66,478.65,477.51,476.22,474.75,473.08,471.19,469.05,466.62,463.87,460.75,457.2,453.19,448.63,443.47,437.61,430.96,423.43,414.89,405.2,394.21,381.75,367.62,351.6,333.43,312.82,289.45,262.95,41.94,41.37,40.71,40.6,41.8,45.16,51.54,61.61,75.11,90.24,103.73,111.78,110.86,98.35,74.52,45.54,22.77,13.1,15.96,27.64,39.66,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678646.85,4852621.29,43.48.18.2904,-96.46.44.5661,94.39,479.61,479.61,478.6,477.46,476.16,474.7,473.03,471.14,469.0,466.57,463.82,460.69,457.15,453.13,448.58,443.41,437.56,430.91,423.38,414.84,405.15,394.16,381.7,367.57,351.55,333.37,312.77,289.4,262.9,41.2,40.64,40.02,40.04,41.51,45.36,52.59,63.98,79.4,96.97,113.33,124.53,126.65,116.1,91.54,58.06,28.93,14.72,15.1,25.96,36.87,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678648.42,4852621.54,43.48.18.2970,-96.46.44.4954,94.4,479.57,479.57,478.56,477.42,476.12,474.66,472.99,471.1,468.96,466.53,463.78,460.65,457.11,453.1,448.54,443.37,437.52,430.87,423.34,414.8,405.11,394.12,381.66,367.53,351.51,333.33,312.73,289.36,262.86,41.3,40.67,39.97,39.93,41.43,45.49,53.25,65.71,82.88,102.96,122.51,137.55,143.85,136.85,113.13,75.45,38.38,17.7,14.58,24.04,35.15,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678650.0,4852621.79,43.48.18.3036,-96.46.44.4246,94.41,479.52,479.52,478.51,477.37,476.07,474.6,472.94,471.05,468.91,466.48,463.72,460.6,457.06,453.04,448.49,443.32,437.46,430.82,423.29,414.74,405.05,394.07,381.61,367.48,351.45,333.28,312.67,289.3,262.8,42.04,41.26,40.33,40.09,41.41,45.22,52.44,63.89,80.04,100.52,123.43,144.92,159.39,160.77,144.97,112.89,72.36,36.26,15.43,12.47,24.45,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678651.58,4852622.03,43.48.18.3103,-96.46.44.3538,94.54,479.47,479.47,478.47,477.32,476.03,474.56,472.89,471.01,468.86,466.44,463.68,460.56,457.02,453.0,448.44,443.28,437.42,430.78,423.24,414.7,405.01,394.02,381.56,367.43,351.41,333.24,312.63,289.26,262.76,43.63,42.65,41.39,40.73,41.63,45.08,52.08,63.57,80.18,101.73,126.51,150.73,168.59,173.48,160.39,129.12,86.6,45.8,19.32,11.81,20.19,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678653.15,4852622.28,43.48.18.3169,-96.46.44.2830,94.67,479.42,479.42,478.41,477.27,475.98,474.51,472.84,470.95,468.81,466.38,463.63,460.51,456.96,452.95,448.39,443.23,437.37,430.73,423.19,414.65,404.96,393.97,381.51,367.38,351.36,333.19,312.58,289.21,262.71,45.37,44.19,42.57,41.44,41.85,44.87,51.56,62.94,79.8,102.1,128.31,154.68,175.21,182.76,171.6,140.77,96.74,52.7,22.38,11.81,17.99,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678654.73,4852622.53,43.48.18.3235,-96.46.44.2123,94.8,479.38,479.38,478.37,477.23,475.93,474.46,472.8,470.91,468.77,466.34,463.58,460.46,456.92,452.9,448.35,443.18,437.32,430.68,423.15,414.6,404.91,393.93,381.47,367.34,351.31,333.14,312.53,289.16,262.66,46.49,45.15,43.25,41.78,41.86,44.6,51.11,62.51,79.64,102.62,129.97,157.89,180.14,189.12,178.55,147.15,101.54,55.48,23.4,11.79,17.33,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678656.3,4852622.77,43.48.18.3301,-96.46.44.1415,94.95,479.32,479.32,478.32,477.17,475.88,474.41,472.74,470.86,468.71,466.28,463.53,460.41,456.87,452.85,448.29,443.13,437.27,430.63,423.09,414.55,404.86,393.87,381.41,367.28,351.26,333.09,312.48,289.11,262.61,46.86,45.43,43.37,41.71,41.62,44.23,50.71,62.19,79.6,103.07,131.12,159.8,182.57,191.44,179.9,146.86,99.67,53.06,21.78,11.53,18.2,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678657.88,4852623.02,43.48.18.3367,-96.46.44.0707,95.09,479.28,479.28,478.27,477.13,475.83,474.37,472.7,470.81,468.67,466.24,463.49,460.36,456.82,452.81,448.25,443.08,437.23,430.58,423.05,414.51,404.82,393.83,381.37,367.24,351.22,333.04,312.44,289.07,262.57,46.43,44.96,42.84,41.14,41.03,43.66,50.22,61.86,79.48,103.2,131.39,159.81,181.57,188.44,174.09,138.32,89.99,45.05,17.76,11.44,21.13,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
